family;Binomial;NoLocs;LG;BM;GT;WA;NBM;LS;LY;AFB;RLy
all;Ammotragus_lervia;19;21.7;94202.2;156.2;121.7;4500;1.2;2;407.6;20.6
all;Antilope_cervicapra;9;23.9;36301.1;166.6;59.5;3386.1;1.2;2;669.2;22.1
sciuridae;Atlantoxerus_getulus;1;9;221.1;43.5;66;8.1;2.9;1;344.8;4.1
all;Axis_axis;47;20.8;69500;227.5;121.7;3156.9;1;1;450;19.6
all;Bos_taurus;50;20;618642.42;280.48;NA;28366.67;1;1;NA;NA
all;Bubalus_bubalis;19;34.9;929501;320;240.3;37500;1.5;1;605.1;33.2
sciuridae;Callosciurus_erythreus;28;17;366.1;48;45;NA;2;2;365;16
all;Camelus_bactrianus;21;40;554515.9;398;368.1;34346.6;1.4;1;1460;36
all;Capra_hircus;290;20.8;47386.5;156;158;2136.1;1.5;1;669.2;19
all;Castor_canadensis;17;23.4;18124.4;111.6;46.5;415.2;3.6;1;657.4;21.6
all;Cervus_elaphus;51;31.5;240867.1;235.6;104.6;8255.8;1.1;0.9;993.7;28.8
all;Cervus_nippon;86;26.3;53000;223.7;197.7;4277.1;1;1;1095;23.3
all;Dama_dama;73;25;57224.6;230;177.6;4698.4;1;1;1095;22
all;Didelphis_marsupialis;6;4.2;1134.8;14;92.5;0.2;7.1;2;182.5;3.7
all;Equus_asinus;40;47;164998.49;367;NA;29250;1;1;866.9;44.6
all;Equus_caballus;21;62;403598.5;339;341.8;37900;1;1;912.5;59.5
all;Erinaceus_europaeus;35;14;778;37;40;15.5;4.6;1.5;349.8;13
all;Felis_catus;360;34;2884.8;62.99;50;113;4;1.5;NA;NA
all;Genetta_genetta;5;34;1756.2;74.2;71.8;77.8;2.3;2;1480.4;29.9
all;Hemitragus_jemlahicus;4;21.8;68616.4;195.8;151.3;2700;1;1;730;19.8
all;Lepus_europaeus;50;12;3816.4;42;30.4;123;2.1;4.4;236.5;11.4
all;Macropus_rufogriseus;13;19;16850;30;426.2;0.5;1;1;501.9;17.6
all;Muntiacus_reevesi;8;23.2;13499.9;214.2;60;1050;1;1.5;182.6;22.7
all;Mus_musculus;220;6;19.3;19.6;21.5;1.1;5.5;4.5;139.5;5.6
all;Mustela_erminea;9;12.5;284.5;66.4;60.9;2.3;6.7;1;95;12.2
all;Mustela_nivalis;14;10;78.5;36.5;36.7;2;5.1;1;113.5;9.7
all;Mustela_putorius;22;14;975.6;41.5;54.4;9.5;8.5;1;304.4;13.2
all;Myocastor_coypus;50;12;6361.6;131.9;52.8;205.7;5.3;2.6;319.4;11.1
all;Myodes_glareolus;1;4.9;20.7;19.7;19.7;1.8;4.3;3.5;83.2;4.7
all;Neovison_vison;93;11.4;925;42;56;8.5;4.5;1;261.3;10.7
all;Nyctereutes_procyonoides;47;16.6;4215;61.8;49.7;87.4;6.4;1;730;14.6
all;Odocoileus_hemionus;18;22;84560.6;203.5;73.5;3007.5;1.6;1;547.5;20.5
all;Odocoileus_virginianus;22;23;75901.3;201.4;79.9;2950;1.6;1;463;21.7
all;Ondatra_zibethicus;350;10;991.3;27.9;27.8;22;6.6;2.4;365;9
all;Oryctolagus_cuniculus;860;18;1590.6;30.5;26.3;39.1;5.2;4.5;121.7;17.7
all;Petaurus_breviceps;1;17.8;120.8;16.7;118.7;0.2;1.8;1.3;403;16.7
all;Procyon_lotor;43;21;6373.7;65;104.2;82.5;3.1;1;345.2;20.1
all;Rattus_exulans;120;1.1;50.6;21.3;28;2.4;3.7;3.9;173.6;0.6
all;Rattus_norvegicus;80;3.8;282.9;21.7;25.4;5.8;9;3.5;91.3;3.6
all;Rattus_rattus;130;4.2;142.7;23.5;28;4.5;5.9;3.8;143.1;3.8
all;Rupicapra_rupicapra;4;22;33266.4;178.3;76;2250;1;0.9;1368.8;18.3
all;Rusa_timorensis;32;20;66375.5;250.3;227.5;2532;1;1;630;18.3
all;Rusa_unicolor;9;26.4;177522.9;246;70;10270;1;1;788.4;24.2
sciuridae;Sciurus_carolinensis;50;24;545.4;44.8;69.5;15.2;3;2;365;23
sciuridae;Sciurus_vulgaris;9;14.8;333;38;64.5;8.8;4.5;2;273.8;14.1
all;Sorex_minutus;1;2;4.3;23.8;23.5;0.2;6;1.5;289;1.2
sciuridae;Spermophilus_major;1;NA;NA;NA;NA;NA;NA;1;NA;NA
all;Suncus_murinus;26;3.2;43.8;30.2;19.2;2.4;3.1;9.8;46.9;3.1
all;Sus_scrofa;240;27;84471.5;115.2;97.9;807.8;4.5;1.5;312;26.1
all;Sylvilagus_floridanus;10;9.8;1207.2;27;22.8;34.2;4.6;4.8;123.6;9.5
sciuridae;Tamias_sibiricus;11;9.6;94.2;35;29.7;3.8;5;1;350;8.6
all;Trichosurus_vulpecula;36;15.9;2685.4;17.5;191.6;0.2;1;1.5;547.5;14.4
all;Vulpes_vulpes;23;21.3;4820.4;52.5;50.7;100.5;4.6;0.9;297.1;20.5
