year;litter.size
2014;4
2014;3
2014;3
2014;1
2014;1
2014;4
2014;1
2014;2
2014;2
2014;2
2014;3
2014;2
2014;2
2015;1
2015;3
2015;8
2015;2
2015;1
2015;2
2015;4
2015;4
2015;4
2015;6
2015;6
2015;5
2015;4
2015;2
2015;5
2015;4
2015;1
2015;4
2015;1
2015;2
2015;2
2016;4
2016;4
2016;2
2016;1
2016;2
2016;3
2016;4
2016;3
2016;2
2016;4
2016;3
2016;2
2016;3
2016;6
2016;4
2016;3
2016;2
2016;5
2016;4
2016;4
2016;3
2016;3
2016;3
2016;4
2016;2
2016;1
2016;3
2016;2
